"FRENCHINFO-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FRENCHINFO-2","1","","France","France","Paris","Paris","Valuation","Clary, Nicolas-Marie, baron","","","","1820-1869","","","48 rue d'Anjou-Saint-Honoré","Clary, Jean-Francois, comte","Clary, Justinien, vicomte","Wagram, Zenaïde-Francoise Berthier, princesse de (née Clary)","Le Roy de la Tournelle, Marie-Joséphine (née Clary)","","","","","","","","","","","1869/01/27","16","Partially","27 janvier 1869. Inventaire après le décès du Baron Clary. Nicolas-Marie baron Clary, propriétaire, officier de la Légion d'honneur, membre de plusieurs ordres étrangers, décédé le 4 janvier 1869 en son hôtel, 49 rue d'Anjou-Saint-Honoré.","Maitre Acloque","","","","Archives nationales, Minutier central","Paris, France","M.C.: XLII, 1122 Me Acloque","Arquié-Bruley |f Françoise","Photocopy@Handwritten Transcription","","","","","We assigned item numbers. Value is given in francs. No measurements are given. The pictures inventory constitues a part of a larger collection of documents relating to Baron Clary's succession, from which we have a photocopy of the testament, too. The testament dated Nov. 16, 1862 has four pages and gives the names of the beneficiaries of some of the pictures listed in the inventory. This information is repeated in the inventory. The portrait of Baron Clary is the only picture which is not mentioned in the inventory, but in the testament only.","","","Collector's File : Clary, baron de","input"
"FRENCHINFO-3","2","","France","France","Paris","Paris","Valuation","Pajou, Jacques-Augustin-Cathérine","","","","1766-1828","","","20, rue Saint-Dominique","","","","","","","","","","","","","","","1828/12/11","15","","Estimation des Tableaux et objets de curiosité dependant de la Succession de Monssieur Pajou. La prisée de tous ces objets sera faite par le dit Maître Merlin Commissaire priseur de l'avis de Monssieur Bon. Peintre expert en objets d'arts demeurant à Paris Cul de Sac de la Pompe rue de Bondy près la porte Saint Martin lequel expert choisi par ledit Sieur[?] Pajou Fils a promis donner son avis en son âme et conscience et a signé après lecture au pareil endroit la minute des présentes. Suit l'inventorié des dits objets.","","","","","Archives nationales, Minutier central","Paris, France","M.C.: XLVI, 831  Me Moisant.","Arquié-Bruley |f Françoise","Photocopy@Handwritten Transcription","","","","","The scribe assigned item numbers. Value is given in francs. No measurements","","","Collectors File : Pajou, Jacques-Augustin-Cathérine","input"
"FRENCHINFO-4","3","","France","France","Paris","Paris","Valuation","Delahaye, Marin","","","","d. 1753","","","rue, isle et paroisse St Louis [Hôtel Lambert]","Delahaye-Desfosses, Salomon","Delahaye de Bazinville, Marc-Antoine","Delahaye, Marie-Edmée de Saint-Marc","","","","","","","","","","","","1753/10/13","25","Yes","13 octobre 1753. Inventaire après décès de Marin Delahaye, fermier général. Marin Delahaye, écuier, seigneur de Draveil, Marcenou, Beaumont et autres lieux, un des fermiers géneraux de Sa Majesté, décédé le 3.10.1753 en la maison qu'il occupoit rue, isle, et paroisse St Louis [Hôtel Lambert]. Veuve: Dame Marie-Edmée de Saint-Marc. Héritiers: ses frères: Salomon Delahaye-Desfosses, écuier, conseiller secrétaire du Roy maison couronne de France et de ses Finances, rue Chapon au Marais, paroisse St. Nicolas-des-Champs. Marc-Antoine Delahaye de Bazinville, écuier, seigneur de Coulombier Surseulle, Culy, Verville et autres lieux, conseiller secrétaire du Roy maison couronne de France et de ses finances, rue de Vendôme au Marais, paroisse St Nicolas-des-Champs. Huisiers-commissaires-priseurs: Jean-Joseph Guichard et Jean Morin de la Terrasse.","","","","","Archives nationales, Minutier central","Paris, France","M.C.: LVII, 408  Me Charlier","Arquié-Bruley |f Françoise","Photocopy","","","Bailey, Colin. Poussin's 'L'enfance de Bacchus', Mélanges en hommage à Pierre Rosenberg, 2001, pp.62-71","","The scribe assigned original item numbers. Inventory described room by room. Value is given in livres . Measurements are in pouces","","","Collectors File: Delahaye, Marin","input"
"FRENCHINFO-5","4","","France","France","Paris","Paris","Valuation","Testard, Pierre","","","","d. 1749","","peintre de l'académie de St. Luc","16, rue des Petits Champs","","","","","","","","","","","","","","","1749/12/05","12","Yes","An mil Sept cent quarante neuf Le Vendredi Cinq décembre neuf heure du matin à la requête de S. Pierre Robert Annion[?] Trésorier de France demeurant à Paris ruë de Clery p.sse St. Eustache, au nom et co.e Exécuteur du Testament Et codociles olographe de deffunt Sieur Pierre Testard Peintre de L'académie de St. Luc En datte des vingt Juillet, premier aoust, quinze septembre Et quinze novembre, Le tour de la presente année dont les originaux ont été déposés a fortier[?] L'on de ce No.re souss.é de l'ord.ce de M. Le lieutenant Civil au Ch.let de Paris portée En son procès verbal d'ouverture desd. testament Et codiciles du Vingt neuf novembre d.er; Lesd. testament Et Codiciles Contrôlés à Paris Ce Jourd'hui, une Expéd.on desquels a été visée au Greffes et Insinuation[?] dud. Ch.let par Thierry Ced. Jour Plus à la requête de d.e Loüise Nieslle Galbrun V.e dud. S. Testard dem.te à Paris ruë neuve des petits champs paroisse S.te Eustache, en son nom à cause de la Comm.té de biens qui a été Entre Led. deffunt S. son mari et elle qu'elle se réserve d'accepter ou d'y renoncer ainsy qu'elle avisera par conseil. Et encore Comme donataire Entre repr. dud. S. son mari par leur contrat de mariage Plus à La requête du S. Claude Méan baptiste Testard officier de la gabelle de Paris demeurant rue bergere susd. p.sse S.t Eustache, assisté de M.de [illeg.] Fourrey[?] son pro.er[?] Plus à la requête de M.de Marin Bertheau procureuren la Cour demeurant à Paris ruë des mauvais Garçons p.sse St jean en greve mais En Maitre de droits de d.e Marie Anne Testard son Epouse avec laqielle il est Commun En biens Plus à La requête du S. Jean baptiste Bourguignon D'Anville Geographe du Roy aux galleries du Louvre p.sse St. Germain l'auxerrois mais en maitre des droits de d.e Marie jeanne Charlotte Testard son Epouse avec Laquelle Il est Commun En biens Et En La présence de M. Jean Claude Goüillard [blank space} Avocat En Parlement Con.er du Roy [word crossed out] L'on des substituts de M. [f.2] Le procureur du Roy de sa Majesté aud. c.let appellé pour l'absence du S. Etienne Testard, habitant de La ville de Québec au Canada en Amérique. Lesd. S.rs Et D.es Claude Jean baptiste, Etienne, Marie Anne et Marie Jeanne Charlotte Testard freres Et soëurs habiles à se diree et porter seuls En uniques héritiers Chacun pour un quart dud. deffunt S. Pierre Testard Leur pere. A La Conservation des droits des parties Il va être par les Con.ers du Roy No.res aud. Ch.let souss.és fait description Et Inv.re des meubles meublants, Linges, hardes, vaisselles d'argent, déniers comptant, titres, papiers Et autres Effets dépendants de la succession dud. deffunt S. Pierre Testard Etant dedans l'apartement qu'il occupoit au [Second, crossed out] trois.[ièm]e de sa maison seize susd. ruë neuve des petits champs et où demeure lad. d.[am]e sa v.[euv]e Et ou Il est décédé Le vingt huit novembre d.[erni]er. Le tout représenté Et mis En Evidence par Lad. D.e V.e Testard Et par Marguerite Beaufort V.e de Jean Pierre Gallery Domestique desd. S. Et D.e Testard après serment par chacun d'Eux fait séparément En main dud. fortier No.re de tous fidelement representer Et déclarer sous les peines de voir à Elles Expliquées Et données à Entendre qu'elle pouvoit bien sçavoir, Et ont Eté Les Effets sujets à Estimation prisés Et estimés par Ange Alphonse Goymal huissier Comm.re priseur qu'a fait Lad. prisée aux sommes de derniers selon etainsy qu'il En fait Et ont signé sous aprobation dusd. Testament Et codicile de la par[?] de sc.e[?] S/rs Et D.es héritiers Et dud. S. substitut aud. nom En ce qui peut leur Etre préjudiciable, Sans préjudice de deffense et au contraire de la part desd. S. Robert 1.ere Certain après avoir vacqué Jusqu'à midy[?] formé à La rédaction du [f.3] Item huit Chemises à [?] de femme de différents toilles Elimées, deux Corsets Et deux Jupons de Bazin Elimé, Une Camisolle de futaine, Trois fichus de mousseline unie, une garniture à deux piéces Et une paire de manchettes à deux rangs farnie de vieux points d'Angleterre, trois autres garnitures de blondes, six Cornettes unies, six bonnets piqués prisé Le tout Ensemble Comme tel quel seize Livres Cy 16 Item un petit Coffret couvert de vieux velours rouge, avec [petites, crossed out] Boete de quadrille garnie de quatre autres petites boïtes remplies de fiches[?] d'or prisésix Livres Cy 6 Item une glace sur la cheminéede La chambre à coucher de vingt quatre pouces de haut sur vingt de large dans sa monture de bois doré prisé vingt livres Cy 20 Item vingt volumes de Livres tant [?] fr livres de dévotion Et Théatre prisés huit Livres Cy 8 Suivent les Tableaux, porcelaines Et curiosités Qui ont Eté prisés par Led. S. Goyenval de l'avis de S. Jacques Pingat et de S. François Julin Tous deux Maîtres peintres de l'académie de St. Luc demeurant Led. S. Pingat pont nôtre Dame p.sse de la Madelaine Et led. S. Joulin quay de la mégisserie p.sse St. Germain l'Auxerrois Tous deux nommés Et choisis par lesd. parties Lesquels pour Ce présent ont promis de donner fidelement Leurs avis sur lad. prisée à laquelle a été procédé ainsy qu'Il suit Et ont signé  [Pingat, Joullain, Goyenval]","","","","","Archives nationales, Minutier central","Paris, France","M.C.:  XXXI, 142","Py |f Geneviève and Michel","Typed Transcription@Photocopy","","","","","The scribe assigned original item numbers. Measurements are in pieds, value is in livres","","","Collectors file:  Testard, Pierre","input"
"FRENCHINFO-6","5","","France","France","Paris","Paris","Valuation","Vintimille du Luc, Charles-Gaspard-Guillaume, Archevêque de Paris","","","","1655-1746","","","","","","","","","","","","","","","","","","1746/05/24","5","Yes","24 mai 1746. Inventaire après décès de Mgr de Vintimille du Luc, archevêque de Paris. Illustrissime et Révendissime Seigneur Monseigneur Charles-Gaspard-Guillaume de Vintimille des Comtes de Marseille du Luc, archevêque de Paris, Duc de St. Cloud, Pair de France, Commendeur de l'ordre du St. Esprit, abbé commendataire des abbayes de St. Denis de Rheims, de Notre-Dame de Belleperche Dom d'Aubrac.","Maître Roger","","S. Guichard, Louis François Gersaint","","Archives nationales, Minutier central","Paris, France","M.C.: XCII, 543 Me Roger","Arquié-Bruley |f Françoise","Photocopy","","","Rambaud, Mireille. Documents du Minutier central concernant l'histoire de l'art (1700-1750), v.1, pp.614-615","","The scribe assigned original item numbers. Value is given in livres. We only have the photocopy of the part of the inventory where the pictures are listed. It appears that Mireille Rambaud has published only extracts from the pictures inventory. Also there may be a mistake in the month of the inventory [mai on our photocopy, mars in the publication]. Beneficiaries of some of the pictures listed in the inventory are named in the Testament made four months earlier [see inventory F-187].","","","Collectors File: Vintimille du Luc","input"
"FRENCHINFO-7","6","","France","France","Paris","Paris","Valuation","Ourches, Didier Balthazar, marquis de","","","","d. 1746","","","23, rue Salneuve","Ville de Metz","","","","","","","","","","","","","","1867/06/04","1","No","4 juin 1867. Inventaire après décès du marquis d'Ourches. Didier Balthazar, marquis d'Ourches, propriétaire, décédé 23 rue Salneuve, le 1er mai 1867.","","","","","Archives nationales, Minutier central","Paris, France","M.C.: XXXV, 1297 Me Turquet","Arquié-Bruley |f Françoise","Handwritten Transcription","","","","","We assigned item numbers. Value is given in francs","","","Collectors File: Ourches, Didier Balthazar, marquis d'","input"
"FRENCHINFO-8","7","","France","France","Paris","Paris","Inventory","Cramayel, François Fontaine, marquis de","","","","d. 1779","","","rue du Sentier, paroisse St. Eustache","Cramayel, Jean-François Fontaine, marquis de","","","","","","","","","","","","","","1779/05/04","2","No","4 mai 1779. Inventaire après décès de François Fontaine, marquis de Cramayel. Messire François Fontaine, marquis de Cramayel, seigneur de Cramayel, Moissy, Limoges et autres lieux, décédé le 24.4.1779, en son hôtel, rue du Sentier, paroise St. Eustache. Veuve: Françoise-Monique Laborde. Fils et seul héritier: Jean-François Fontaine, chevalier, marquis de Cramayel, Introducteur des Ambassadeurs, même demeure, mineur émancipé. Prisé par Antoine Hugues, avocat au Parlement, huissier-commissaire-priseur.","Maître Momet","","Hugues, Antoine","","Archives nationales, Minutier central","Paris, France","M.C.: XVI, 830 Me Momet","Arquié-Bruley |f Françoise","Handwritten Transcription","","","","","We assigned item numbers. Inventory described room by room. No measurements or value are given","","","Collectors File: Cramayel, François Fontaine, marquis de","input"
"FRENCHINFO-9","8","","France","France","Paris","Paris","Valuation","Le Camus, Henry-Marie-Brigitte","","","","d. 1824","","","91, rue de Chaillot","Le Camus, Henry-Marie-Brigitte |d Frères et soeurs de","","","","","","","","","","","","","","1824/04/28","1","Yes","28 avril 1824. Inventaire après décès de M. Le Camus. Henry-Marie-Brigitte Le Camus, décédé en sa maison, 91 rue de Chaillot le 12.4.1824.  Testament déposé chez Me. Perret, le 21.4.1824.  Héritiers: ses frères et soeurs.  Commissaire-priseur: Me. Tardu.","","","","","Archives nationales, Minutier central","Paris, France","M.C.: XLVIII, 607 Me Riant","Arquié-Bruley |f Françoise","Handwritten Transcription","","","","","The scribe assigned original item numbers. No measurements are given, while the value appears without the name of the currency","","","Collectors File: Le Camus, Henry-Marie-Brigitte","input"
"FRENCHINFO-10","9","","France","France","Paris","Paris","Valuation","La Brosse, Jean-François Laborde, baron de","","","","d. 1769","","Ecuyer","paroisse St. Eustache, rue Montmartre","Le Vasseur, Elizabeth-Françoise","Laborde, Jean-Benjamin","Laborde, Joseph-Louis","Laborde. Françoise-Monique","Laborde, Elizabeth-Josephe","Laborde, Henriette","","","","","","","","","1769/01/01","2","Partially","7 janvier 1769. Inventaire après décès de Jean-François Laborde, ancien fermier général. Messire Jean-François Laborde, écuyer, seigneur de Memillon, baron de la Brosse et autres lieux, ancien fermier général, décédé le 1er janvier 1769 en son château de la Brosse. Veuve: Dame Elizabeth-Françoise Le Vasseur, rue Montmartre, p.sse St. Eustache. Roy, même adresse Joseph-Louis, écuyer, mestre de camp de dragons, même adresse Françoise-Monique, épouse de François Fontaine, écuyer, seigneur de Cramayel, l'un des fermiers généraux de sa Majesté, rue du Sentier, même paroisse Elizabeth-Joséphe, épouse de Gérard Binet, baron de Marchais, gouverneur du Vieux Louvre, Premier valet de chambre du Roy, chevalier de l'ordre royal et militaire de Saint-Louis, au Louvre, paroisse St. Germain l'Auxerrois Henriette, épouse d'Auguste-Simon Brissart, écuyer, seigneur de Triel, Chanteloup et autres lieux, rue Neuve, St. Augustin, paroisse St. Roch Exécuteur testamentaire: Haut et Puissant Seigneur Messire François de Bastard, chevalier, ancien premier président du Parlement de Toulouse, maître de requête honoraire, rue St Marc, paroisse St. Eustache Testament, Me Momet, 21.8.1768. Inventaire après levée des scellés. Prisée par Me Antoine Hugues, huissier-commissaire-priseur.","Me. Momet","Bastard, François de","","","Archives nationales, Minutier central","Paris, France","M.C.: XVI, 787  Me Momet","Arquié-Bruley |f Françoise","Handwritten Transcription","","","","","We assigned item numbers. Inventory described room by room. Value is given without the name of the currency","","","Collectors File: La Brosse, Jean-François Laborde, baron de","input"
"FRENCHINFO-11","10","","France","France","Paris","Paris","Valuation","Bonne de Brassac de Buisse, Alexandrine Marie Jeanne","Sanson, Jean Louis","wife of Sanson, Jean Louis","husband of Bonne de Brassac de Buisse, Alexandrine Marie Jeanne","1768-1793","_","","cour du Dragon, rue du Sépulchre No 598, Section de l'Unité","","","","","","","","","","","","","","","1794/04/15","5","Yes","Inventaire des biens de Jean Louis Sanson, citoyen français demeurant à Paris cour du Dragon, rue du Sépulchre No 598, Section de l'Unité, au décès de son épouse commune en biens avec lui, Alexandrine Marie Jeanne Bonne de Brassac de Buisse, (lesdits biens) trouvés au troisième étage ayant vue tant sur la rue du Sépulchre que sur la cour du Dragon et dépendans d'une maison sise susdite cour du Dragon","Me. Péan de Saint-Gilles","","","","Archives nationales, Minutier central","Paris, France","M.C.: XCI, 1309  Me Péan de Saint-Gilles","Arquié-Bruley |f Françoise","Photocopy","","","","","The scribe assigned original item numbers. Value is given in livres","","","Collectors File: Bonne de Brassac de Buisse, Alexandrine Marie Jeanne","input"
